CLIENT - 2020-10-11 16:12:06,041 - SERVER DISPONÍVEL
CLIENT - 2020-10-11 16:12:11,500 - RECEBIDO | TIPO: 1 | TAMANHO: 14
CLIENT - 2020-10-11 16:12:11,542 - ENVIADO | TIPO: 2 | TAMANHO: 14
CLIENT - 2020-10-11 16:12:11,738 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 1 | TOTAL PACOTES: 6 | CRC: b'\xc0z'
CLIENT - 2020-10-11 16:12:12,225 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 1 | TOTAL PACOTES: 6 | CRC: b'\xc0z'
CLIENT - 2020-10-11 16:12:12,757 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:12:13,291 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:12:15,298 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\xc1%'
CLIENT - 2020-10-11 16:12:15,322 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\xc1%'
CLIENT - 2020-10-11 16:12:15,329 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:12:15,871 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:12:17,878 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 2 | TOTAL PACOTES: 6 | CRC: b'\xc1%'
CLIENT - 2020-10-11 16:12:18,426 - ENVIADO | TIPO: 6 | TAMANHO: 14
CLIENT - 2020-10-11 16:12:20,432 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b't\xcf'
CLIENT - 2020-10-11 16:12:20,449 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 3 | TOTAL PACOTES: 6 | CRC: b't\xcf'
CLIENT - 2020-10-11 16:12:20,449 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:12:20,967 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:12:22,974 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 4 | TOTAL PACOTES: 6 | CRC: b'fd'
CLIENT - 2020-10-11 16:12:23,009 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 4 | TOTAL PACOTES: 6 | CRC: b'fd'
CLIENT - 2020-10-11 16:12:23,043 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:12:23,598 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:12:25,605 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 5 | TOTAL PACOTES: 6 | CRC: b'9\x8c'
CLIENT - 2020-10-11 16:12:25,622 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 114 | PACOTE: 5 | TOTAL PACOTES: 6 | CRC: b'9\x8c'
CLIENT - 2020-10-11 16:12:25,627 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:12:26,139 - ENVIADO | TIPO: 4 | TAMANHO: 14
CLIENT - 2020-10-11 16:12:28,146 - RECEBIDO HEAD| TIPO: 3 | TAMANHO: 10 | PACOTE: 6 | TOTAL PACOTES: 6 | CRC: b'\xed\xfe'
CLIENT - 2020-10-11 16:12:28,163 - RECEBIDO PAYLOAD| TIPO: 3 | TAMANHO: 55 | PACOTE: 6 | TOTAL PACOTES: 6 | CRC: b'\xed\xfe'
CLIENT - 2020-10-11 16:12:28,163 - RECEBIDO EOP | TIPO: 3 | TAMANHO: 4
CLIENT - 2020-10-11 16:12:28,718 - ENVIADO | TIPO: 4 | TAMANHO: 14
